title,url
"Maintenance of Audiovisual & IT systems and equipment in Brussels and Strasbourg","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/187d4e76-d4ff-4d79-a2b4-39ed08f393ae-CN"
"Stand-by Oil Spill Recovery Vessel(s): Northern Baltic Sea","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/7f2ad986-5b55-469d-8c99-19246cd3fa92-CN"
"Service contract for the provision of documentary standards","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/77d19806-3bcb-4bca-98c9-50423c7b27d4-EXA"
"Scintillator detectors","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/259be025-fc47-47ba-8fad-30b06fe5011e-EXA"
"Communication stratégique de l’UE au Gabon et à Sao Tomé-et-Principe","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/7e7499fc-1be3-4fc2-9823-a85b617240b2-CN"
"SUPPORT TO POLICY DEVELOPMENT AND IMPLEMENTATION OF LEGISLATION FOR PREVENTION, PREPARATION AND RESPONSE OF MAJOR ACCIDENTS INVOLVING CHEMICAL SUBSTANCES","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/1f7fe9c8-d173-4bf6-a832-3dfea1bcd7b5-CN"
"06D20/2025/M036 - Design & Build contract for the Renovation of the SPAAK Building in Brussels","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/1815ce08-5f15-4c47-b69d-4816ea763db5-CN"
"Audit et conseil dans le domaine de la restauration durable","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/b6075c9c-609b-460e-bd3e-9479a102cfe4-CN"
"Consulting services for assessment of opportunities for adoption of Artificial Inteligence based solutions in administrative processes of the Joint Research Centre","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/a462f332-326c-4189-b451-b6c2fe03919a-EXA"
"Raamcontract voor het leveren van drukwerk, layout werkzaamheden, grafische ontwerpen (DTP), wrappen en bestickering","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/dc902f2e-aaa6-4581-9a52-fd02305ab5be-CN"
"CFT-1748 - IT Security Operations and Testing, Business Continuity, Information Protection and Access Control Consultancy Services","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/7305ab45-23b9-409e-8f56-b538c19232a6-CN"
"EU integrated Multi-constellation and Multi-sensor Radio Frequency Interference Monitoring system - M2RFI, GNSS","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/712573a0-9e17-4843-b764-483fb91d1b2c-CN"
"Bestellung eines Sicherheits- und Gesundheitsschutzkoordinators für das Bauvorhaben „Neubau Laborgebäude Flügel M 2.0“ am Standort des JRC Karlsruhe","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/627d1f2d-22d8-4414-9807-9b6944aa2dba-CN"
"Acquisition, delivery, installation and hardware and software maintenance of EuroSSQ-HPC quantum computer for EuroHPC Joint Undertaking.","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/bbb4ab89-a2c8-4fa3-a02c-4abd629c3e5a-CN"
"Maler- und Bodenbeschichtungsarbeiten sowie Instandhaltungsarbeiten der Stillstandszeit","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/89ee770e-c530-4ddc-bb2e-17afde2ed5e3-PIN"
"Digital transformation of the IT system of the Statistical Office of Montenegro (MONSTAT)","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/41c09569-81b1-45f5-9ba1-a648920c845c-CN"
"Support for programme management and implementation of information systems for external relation DGs","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/4a27bbbd-3c71-4caa-bcf5-de8b620aceb3-CN"
"Supply and analysis of passive radiation dosimeters and assessment of radiation exposures","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/43146e28-9e92-47ca-87c9-b9027e8145ec-CN"
"“Services in support of the technical implementation of interoperability obligations in Article 6(7) DMA”","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/e1de7291-9a74-404d-9762-8600c16db6c3-EXA"
